gene_name	SRR13389805	SRR13389807	SRR13389809	SRR13389815	SRR13389817	SRR13389818	SRR13389820	SRR13389824	SRR13389834	SRR13389840	SRR13389841	SRR13389849
ENPP1	8.69414189596686	8.88894343727027	8.61338849669698	8.36506699010238	9.32203896891217	9.46565736134645	9.46718030899043	8.72285303914775	8.76247913682199	8.7748159690152	7.32965742124555	8.58226185261034
PARD6G	4.97477848292004	5.1023043884418	3.84580325508242	5.3245165002514	4.45630889655309	8.72832875608044	3.88010791789688	4.79338161350812	5.43752922851785	4.81843386005494	9.28075386669514	4.81115168321583
ADNP2	9.84073469583174	9.76615451760036	9.1905311088845	9.78433213559573	9.58075561588376	10.0579629215747	9.41592754852566	9.60595638759964	10.2523895497569	10.1121020161945	10.2909668112524	9.66171521847885
RBFA	8.1918304052952	8.25941478721372	7.72134874174011	8.99853953578598	7.88167591240835	9.48618980912852	7.61384303646515	8.29249056352946	8.333519731387	8.18893884533354	8.9911288543603	7.95997800886468
TXNL4A	8.31121462338939	8.07450519510895	8.0253364275785	8.90705473612851	8.03839998971572	8.95392532389802	7.98597572567466	8.2047239538382	8.75045936660637	8.59792239927446	10.1913110931653	8.27949033652633
SLC66A2	8.46118169027229	8.55031861289872	8.49534123063275	7.60481543688478	8.61190657465893	9.68430689553853	9.01409386442123	8.89161808156213	6.42078741111316	6.94348211298596	9.73253171002554	8.15894397459189
KCNG2	0	2.64755359526275	2.66704020483975	0	0	5.48917836930979	0	3.03502013956807	2.46046528630703	1.73672914543356	5.75158709666028	1.66261696408209
HSBP1L1	3.40170744285921	3.91099823960777	4.48574841976986	3.78039558857185	4.20635880636985	4.8515082272319	4.52096063106934	4.68223341916326	3.03673318255022	2.28923792245061	5.53911152572097	3.91440840406393
CTDP1	11.591721914899	11.9032369842143	12.0935147373167	11.6399284662946	11.9883839135263	9.12079387554135	12.5037433439235	11.7733818472058	10.8957772519962	11.164220151678	9.86399143616044	11.6345671163917
NFATC1	8.53408695252876	8.40846476537702	7.60720272931033	8.91215100718425	8.25589386746973	8.84685590104076	7.41936096067392	8.53570020180734	8.36144809839143	8.96640864035187	8.94507921193983	8.08031069204936
SALL3	4.7129376435673	3.52758042769396	4.48574841976986	5.01913885666752	3.52057514514029	2.13033908167249	3.73895082572855	4.9455307960833	3.94603971984815	5.10587141615271	0	3.56431890090738
ATP9B	10.426541094921	10.5053638982805	10.1354042650013	9.91192547195044	10.2646881489056	9.48278796329031	10.4119675515712	10.0636708360452	10.3321791687979	10.0070013292864	10.1729872880312	10.2734815061648
GALR1	1.45403840268556	2.1733488497676	0	1.82707222350416	1.45735055511176	5.37637528728582	0	2.03006900825023	1.48623905696347	2.28923792245061	2.22930046798498	1.66261696408209
MBP	2.99257911884102	2.83667379534987	0	4.02582410063467	2.64110855141953	9.636121442696	0	3.03502013956807	3.3230650886024	3.25603731191737	8.55950975890754	3.42580336977809
ZNF236	9.91020158840018	9.81195187373659	10.0953871243745	9.2864434245194	10.0450480754829	10.0232583902819	9.9278356653224	10.0056992153467	9.92221024075634	9.96159450213707	8.77731818403575	9.7350479059508
ZNF516	11.152100116786	11.2469774761421	11.6388912136159	10.1527031573919	11.1551028473648	9.93887918527844	11.3603894485586	11.274755417302	10.0830118221117	10.189075265638	9.39583320606838	10.7695359768679
TSHZ1	8.81887730642216	8.82895193851521	7.29942799559269	9.13774583261042	7.98967960117864	9.93390515911068	7.180934428465	8.32523024892767	9.32724128298439	9.25232819051054	9.8312589722049	8.06871915193927
ZADH2	8.73594912105124	8.70396248475172	7.40568886743603	8.99853953578598	8.0239558483115	9.35092441379038	7.34823617820334	8.06770934460414	8.94494765823431	8.91620589538394	9.38791083500449	7.82868770107534
ZNF407	9.2043305446315	9.05287917587436	9.39069319180334	8.66287663672103	9.25970944046897	8.1999626787486	9.13875369709587	9.14840740442602	9.35925313039612	9.0930070216565	7.99047750735826	9.00651954102492
CNDP1	5.35804435138639	6.44314180170086	6.08514004752338	5.93796862309681	5.09485611724494	5.66756588441741	5.39822418809339	5.79411191127197	5.82906006454782	5.85211086295602	2.83762898190778	5.66720422616447
CNDP2	11.382494044754	11.3240710019977	11.6382858652126	11.6845415873251	11.6825732137344	10.402980681729	11.78803683991	11.3550884340285	11.504392892177	11.3462991797269	11.4818124732818	11.5563167950395
DIPK1C	5.23014599907226	4.98725523070206	6.34462838393392	4.81662037174947	5.508552847605	3.68074213553849	5.14201551611125	6.30622901900949	4.61002076205895	4.40718194967927	2.56529353387964	5.28182059833608
C1H18orf63	9.95261229690007	9.81054249540587	9.49868676109709	8.57884453784827	9.5474795605841	4.8515082272319	8.62025417108819	9.30667690562221	10.5823688549291	10.8922895198706	8.09149445326056	10.3991256315447
TIMM21	10.3867885381495	10.676049537083	11.0008382811304	9.2365304514707	10.629952774144	9.53134648697283	10.7208362267669	10.5964342257075	9.0903141245937	9.07231651966927	9.66201863170553	10.137230055125
FBXO15	10.7798311852437	10.8209818715729	11.4034017921403	9.98750393625324	11.0544678877674	6.79170496039014	11.1464729171787	10.9617749618593	9.92889180833333	9.96720904356453	5.64925737252819	10.8325793025349
CBLN2	3.27779055587007	2.1733488497676	2.32579980055892	3.37061958632573	3.90383734083181	2.60105597053891	4.23582927839321	3.94421546105222	4.71270998155125	5.34544534847565	0	3.91440840406393
NETO1	6.81177013250284	5.98447056979886	6.368184077596	5.05644173756843	5.26827623106625	2.78907326336115	4.89823824767717	6.30622901900949	5.93905784072045	5.66579421104436	0	5.9459184958566
