NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_LONG_TERM_POTENTIATION	70	65		
KEGG_LYSINE_DEGRADATION	44	41		
KEGG_LYSOSOME	121	106		
KEGG_MAPK_SIGNALING_PATHWAY	267	226		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	16		
KEGG_MELANOGENESIS	101	90		
KEGG_MELANOMA	71	62		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	25		
KEGG_MISMATCH_REPAIR	23	21		
KEGG_MTOR_SIGNALING_PATHWAY	52	48		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	79		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	189		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	119		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	23		
KEGG_NITROGEN_METABOLISM	23	16		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	44		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	52		
KEGG_NOTCH_SIGNALING_PATHWAY	47	45		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	40		
KEGG_N_GLYCAN_BIOSYNTHESIS	46	42		
KEGG_OLFACTORY_TRANSDUCTION	389	57		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	17		
KEGG_OOCYTE_MEIOSIS	113	103		
KEGG_OTHER_GLYCAN_DEGRADATION	16		Rejected!	
KEGG_OXIDATIVE_PHOSPHORYLATION	132	97		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	23		
KEGG_P53_SIGNALING_PATHWAY	68	60		
KEGG_PANCREATIC_CANCER	70	67		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16		Rejected!	
KEGG_PARKINSONS_DISEASE	130	97		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	48		
KEGG_PATHWAYS_IN_CANCER	325	298		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28		Rejected!	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	22		
KEGG_PEROXISOME	78	68		
KEGG_PHENYLALANINE_METABOLISM	18	16		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	69		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	22		
KEGG_PPAR_SIGNALING_PATHWAY	69	58		
