NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	13	12		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	33	26		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	9	8		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	160	126		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	19	15		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	9	9		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	14	12		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN	32	27		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	18	16		
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN	20	10		
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP	20	15		
BARIS_THYROID_CANCER_DN	59	52		
BARIS_THYROID_CANCER_UP	24	18		
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	31	26		
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	33	19		
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN	13	11		
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	16	14		
BARRIER_COLON_CANCER_RECURRENCE_DN	20	18		
BARRIER_COLON_CANCER_RECURRENCE_UP	42	37		
BASAKI_YBX1_TARGETS_DN	398	314		
BASAKI_YBX1_TARGETS_UP	294	255		
BASSO_B_LYMPHOCYTE_NETWORK	146	129		
BASSO_CD40_SIGNALING_DN	71	55		
BASSO_CD40_SIGNALING_UP	103	85		
BASSO_HAIRY_CELL_LEUKEMIA_DN	6	5		
BASSO_HAIRY_CELL_LEUKEMIA_UP	79	65		
BAUS_TFF2_TARGETS_DN	12	9		
BAUS_TFF2_TARGETS_UP	32	17		
BECKER_TAMOXIFEN_RESISTANCE_DN	54	44		
BECKER_TAMOXIFEN_RESISTANCE_UP	53	38		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	7	7		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	46	41		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	59	55		
BEIER_GLIOMA_STEM_CELL_DN	67	54		
BEIER_GLIOMA_STEM_CELL_UP	40	30		
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	48	45		
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	29	16		
BENPORATH_CYCLING_GENES	648		Rejected!	
BENPORATH_EED_TARGETS	1059		Rejected!	
BENPORATH_ES_1	379	340		
BENPORATH_ES_2	40	33		
BENPORATH_ES_CORE_NINE	9	9		
BENPORATH_ES_CORE_NINE_CORRELATED	100	94		
BENPORATH_ES_WITH_H3K27ME3	1115		Rejected!	
BENPORATH_MYC_MAX_TARGETS	775		Rejected!	
BENPORATH_MYC_TARGETS_WITH_EBOX	230	192		
BENPORATH_NANOG_TARGETS	988		Rejected!	
BENPORATH_NOS_TARGETS	179	164		
BENPORATH_OCT4_TARGETS	290	265		
BENPORATH_PRC2_TARGETS	650	464		
BENPORATH_PROLIFERATION	147	140		
BENPORATH_SOX2_TARGETS	734		Rejected!	
BENPORATH_SUZ12_TARGETS	1035		Rejected!	
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	48	44		
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	29	24		
BERENJENO_TRANSFORMED_BY_RHOA_DN	398	348		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	30	25		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	20	17		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	30	23		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	8	6		
BERENJENO_TRANSFORMED_BY_RHOA_UP	550		Rejected!	
BERGER_MBD2_TARGETS	5		Rejected!	
BERNARD_PPAPDC1B_TARGETS_DN	59	47		
BERNARD_PPAPDC1B_TARGETS_UP	37	34		
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	46	38		
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP	24	22		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180	149		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	207	173		
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	126	104		
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP	122	99		
BHATTACHARYA_EMBRYONIC_STEM_CELL	84	71		
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	88	82		
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	211	183		
BHAT_ESR1_TARGETS_VIA_AKT1_DN	82	76		
BHAT_ESR1_TARGETS_VIA_AKT1_UP	281	236		
BIDUS_METASTASIS_DN	154	131		
BIDUS_METASTASIS_UP	221	205		
BIERIE_INFLAMMATORY_RESPONSE_TGFB1	5		Rejected!	
BILANGES_RAPAMYCIN_SENSITIVE_GENES	37	35		
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	69	65		
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	69	67		
