NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_DOUBLE_HOLLIDAY_JUNCTION_RESOLUTION	KEGG_MEDICUS_REFERENCE_DOUBLE_HOLLIDAY_JUNCTION_RESOLUTION		5	-0.59336454	-1.3180804	0.16015625	0.3701412	1.0	2861	tags=60%, list=19%, signal=74%	
CHENG_TAF7L_TARGETS	CHENG_TAF7L_TARGETS		6	-0.5497109	-1.3157765	0.20542635	0.3715296	1.0	79	tags=17%, list=1%, signal=17%	
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS		5	-0.6040139	-1.3140863	0.17437722	0.3720452	1.0	3942	tags=80%, list=26%, signal=108%	
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER	REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER		37	-0.30640644	-1.3097658	0.07692308	0.37622696	1.0	1535	tags=27%, list=10%, signal=30%	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS		8	-0.5129369	-1.3073555	0.15	0.37783304	1.0	251	tags=25%, list=2%, signal=25%	
FARMER_BREAST_CANCER_CLUSTER_2	FARMER_BREAST_CANCER_CLUSTER_2		31	-0.300265	-1.3029121	0.09756097	0.38225067	1.0	4349	tags=71%, list=28%, signal=99%	
STONER_ESOPHAGEAL_CARCINOGENESIS_DN	STONER_ESOPHAGEAL_CARCINOGENESIS_DN		6	-0.56187314	-1.3020309	0.22267206	0.38158098	1.0	6133	tags=83%, list=40%, signal=139%	
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME		63	-0.2765709	-1.3008704	0.0	0.38148668	1.0	3370	tags=48%, list=22%, signal=61%	
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY		15	-0.39322588	-1.2970016	0.13709678	0.38522995	1.0	1266	tags=27%, list=8%, signal=29%	
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_UP	HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_UP		16	-0.38186857	-1.2907416	0.12871288	0.39172122	1.0	1362	tags=25%, list=9%, signal=27%	
