NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS		69	0.46832606	1.2486117	0.10965795	0.2679026	1.0	3149	tags=29%, list=21%, signal=36%	
PID_PDGFRA_PATHWAY	PID_PDGFRA_PATHWAY		19	0.5309525	1.2485539	0.17267759	0.2679225	1.0	3861	tags=42%, list=25%, signal=56%	
OHM_EMBRYONIC_CARCINOMA_DN	OHM_EMBRYONIC_CARCINOMA_DN		7	0.63944656	1.2484815	0.18791947	0.26796585	1.0	1536	tags=43%, list=10%, signal=48%	
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1		229	0.45199162	1.2482394	0.022	0.2683082	1.0	3586	tags=31%, list=23%, signal=39%	
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP	YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP		68	0.47363257	1.2479389	0.09375	0.26877883	1.0	4148	tags=40%, list=27%, signal=54%	
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING	WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING		121	0.45674413	1.2478906	0.059059057	0.2687825	1.0	4865	tags=41%, list=32%, signal=60%	
REACTOME_SENSORY_PERCEPTION_OF_SALTY_TASTE	REACTOME_SENSORY_PERCEPTION_OF_SALTY_TASTE		6	0.678783	1.2477536	0.1821975	0.26893428	1.0	3796	tags=67%, list=25%, signal=89%	
BOCHKIS_FOXA2_TARGETS	BOCHKIS_FOXA2_TARGETS		366	0.44899178	1.2475493	0.003	0.26919788	1.0	3865	tags=33%, list=25%, signal=42%	
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING	WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING		25	0.50822353	1.2472904	0.17777778	0.269543	1.0	3899	tags=48%, list=25%, signal=64%	
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS		31	0.49447876	1.2472667	0.16772823	0.269507	1.0	2236	tags=32%, list=15%, signal=38%	
PID_CD8_TCR_PATHWAY	PID_CD8_TCR_PATHWAY		44	0.48109677	1.2470776	0.13917525	0.26975098	1.0	1935	tags=27%, list=13%, signal=31%	
LEE_CALORIE_RESTRICTION_MUSCLE_DN	LEE_CALORIE_RESTRICTION_MUSCLE_DN		43	0.48553073	1.2469959	0.15051547	0.2698109	1.0	3852	tags=33%, list=25%, signal=43%	
