SRR	Breed	SAMN
SRR13389818	Havanese	SAMN17266630
SRR13389805	Papillon	SAMN17266641
SRR13389807	Bichon_frise	SAMN17266616
SRR13389808	Maltese	SAMN17266639*
SRR13389809	Maltese	SAMN17266638
SRR13389841	Border_terrier	SAMN17266617
SRR13389833	Yorkshire_terrier	SAMN17266660*
SRR13389834	Yorkshire_terrier	SAMN17266659
